position, id, name, score, time
1, 1217, Marian Basset, 10, 03:12.63
2, 1280, Isia Basset, 9, 03:59.1
3, 1390, Suzu Masuzawa, 9, 04:12.57
4, 1198, Fryderyk Pryjma , 8.5, 03:48.47
5, 1150, Kim Hadorn, 8.5, 03:56.34
6, 1761, Itay Manor, 8.5, 04:57.37
7, 1538, Hannah Hateley, 8.5, 05:10.72
8, 1174, Angus Ivory, 8, 02:15.57
9, 1585, Ursula Kadan, 8, 02:46.79
10, 1305, Malthe Poulsen, 8, 03:05.54
11, 1387, James Rogers, 8, 03:07.21
12, 1187, Ben Brown, 8, 03:13.72
13, 1636, Lucie Lataste, 8, 03:31.89
14, 1445, Ryan Elliot, 8, 03:41.37
15, 1729, Campbell Walsh, 8, 03:49.53
16, 1676, Kohei Kamijima, 8, 04:10.04
17, 1725, Kristine Fjellanger, 8, 05:00.36
18, 1124, Jake O'Donnell, 8, 05:15.74
19, 1569, Franz Glaner, 7.5, 03:08.61
20, 1709, Kristian Jones, 7.5, 03:50.05
21, 1165, Andrew Evans, 7.5, 04:14.63
22, 1391, Chris Evans, 7.5, 04:25.41
23, 1028, Murray Strain, 7.5, 04:43.71
24, 1422, Elias Schafer, 7.5, 05:47.74
25, 1669, Michael James, 7.5, 05:57.91
26, 1776, Andy Paterson, 7.5, 05:58.65
27, 1584, Roland Fesselhofer, 7.5, 07:36.18
28, 1528, Daniel Campbell, 7.5, 08:04.27
29, 1701, James McGuire, 7, 02:26.46
30, 1549, Erik Simkovics, 7, 02:43.28
31, 1707, Pierre Erbland, 7, 03:05.58
32, 1365, Juliette Basset, 7, 03:10.03
33, 1244, Tomas Hendrickx, 7, 03:23.09
34, 1416, Theo Fleurent, 7, 03:27.6
35, 1007, Grace Molloy, 7, 03:32.63
36, 1199, Rune De Clercq, 7, 03:40.73
37, 1164, Philipp von Arx, 7, 03:41.37
38, 1658, Ryosuke Nishishita, 7, 03:44.9
39, 1607, Jamie Lightfoot, 7, 03:46.49
40, 1055, Jamie Hayward, 7, 03:48.11
41, 1738, Tatsuki Miyamoto, 7, 03:50.81
42, 1520, Alexander Chepelin, 7, 03:51.17
43, 1382, Lone Brochmann, 7, 03:56.6
44, 1094, Ula Trykozko, 7, 03:56.93
45, 1014, Freddie Carcas, 7, 03:58.65
46, 1034, Severin Howald, 7, 03:59.8
47, 1606, Nicholas Lightfoot, 7, 04:05.69
48, 1414, Casper Skepp, 7, 04:14.82
49, 1686, Robert Buckby, 7, 04:17.51
50, 1316, David Robertson, 7, 04:17.88
51, 1755, Nick Pullen, 7, 04:28.16
52, 1082, Evelyn Elmes, 7, 04:28.77
53, 1578, Sue Bett, 7, 04:31.1
54, 1727, Olaf Woertel, 7, 04:33.03
55, 1581, William Ivory, 7, 04:34.89
56, 1615, Erik Bonek, 7, 04:36.78
57, 1153, James Hammond, 7, 04:38.45
58, 1448, Jon Hateley, 7, 04:40.14
59, 1600, Troy Southall, 7, 04:41.8
60, 1436, Matthew Pickering, 7, 04:42.25
61, 1479, Iain Stemp, 7, 04:51.71
62, 1721, Haruki Ohashi, 7, 05:01.76
63, 1246, Ken Walker Jr, 7, 05:08.69
64, 1750, Alison Cunningham, 7, 05:30.72
65, 1099, James Laird, 7, 06:04.15
66, 1123, Chris O'Donnell, 7, 07:31.44
67, 1552, Anya Crocker, 7, 07:35.7
68, 1620, Emma Cross, 7, 08:00.15
69, 1746, Matthieu Puech, 6.5, 02:53.04
70, 1021, Ben Mitchell, 6.5, 03:24.16
71, 1092, Simon Errington, 6.5, 04:03.65
72, 1547, Anton Salmenkyla, 6.5, 04:15.58
73, 1208, Raphael Combe, 6.5, 04:41.01
74, 1565, Samuele Curzio, 6.5, 04:42.62
75, 1412, Mick Farrell, 6.5, 04:48.95
76, 1201, Clive Wilkinson, 6.5, 04:57.16
77, 1482, Jolyon Medlock, 6.5, 05:17.5
78, 1630, David Todd, 6.5, 05:20.43
79, 1531, Beccy Osborn, 6.5, 05:27.14
80, 1004, Peter Hodkinson, 6.5, 05:36.57
81, 1292, Scarlet Heap, 6.5, 05:39.17
82, 1278, Michael Eglin, 6.5, 06:11.59
83, 1587, Jon Hollingdale, 6.5, 06:12.6
84, 1751, Johanna Schmidt, 6.5, 06:25.62
85, 1452, Judita Traubaitė, 6.5, 06:32.17
86, 1353, Heather Walton, 6.5, 06:38.83
87, 1270, John Britton, 6.5, 06:44.47
88, 1527, Andrew Campbell, 6.5, 06:44.74
89, 1521, Ellen Deschepper, 6.5, 09:07.63
90, 1261, Jim Bailey, 6, 02:41.96
91, 1089, Adam McCreadie, 6, 02:52.13
92, 1315, Harry McMurtrie, 6, 02:59.87
93, 1608, Robbie Lightfoot, 6, 03:04
94, 1083, Alexander Lubina, 6, 03:04.91
95, 1666, Jamie Goddard, 6, 03:07.51
96, 1020, Megan Carter-Davies, 6, 03:27.02
97, 1726, Niklas Profors, 6, 03:27.27
98, 1637, Mathias Lataste, 6, 03:32.02
99, 1046, Andrew McLaren, 6, 03:35.01
100, 1260, Scott Bailey, 6, 03:36.28
101, 1800, Bojan Blumenstein, 6, 03:39.49
102, 1616, Gustav Runefors, 6, 03:45.94
103, 1796, Thapelo Thaba, 6, 03:46.18
104, 1451, Joe Sunley, 6, 03:47.51
105, 1104, Tamas Barany, 6, 03:49.74
106, 1560, Peter Suba, 6, 03:52.45
107, 1617, Benoit Deroux, 6, 03:53.94
108, 1660, Camilla Darwin, 6, 03:55.1
109, 1129, Scott Collier, 6, 03:58.82
110, 1212, Alistair Duguid, 6, 03:59.4
111, 1130, Anne Edwards, 6, 04:00.66
112, 1379, Jamie Austin Mills, 6, 04:01.7
113, 1421, Vanda Kralova, 6, 04:05.73
114, 1546, Julia Doubson, 6, 04:05.83
115, 1491, Tengfei Han, 6, 04:08.27
116, 1423, Peleg Mitzafon , 6, 04:09.15
117, 1723, Anna Wartewig, 6, 04:11.3
118, 1533, Paul Furness, 6, 04:13.64
119, 1580, David Bunn, 6, 04:15.49
120, 1027, Jo Shepherd, 6, 04:17.81
121, 1697, Erik Hæstad Bjørnstad, 6, 04:19.28
122, 1367, Hugo Vaxelaire, 6, 04:20.65
123, 1100, Angus Laird, 6, 04:22.12
124, 1757, Lewis Taylor, 6, 04:24.36
125, 1081, Pat Moody, 6, 04:27.37
126, 1564, Stephen McLean, 6, 04:27.51
127, 1703, Sam Diaz, 6, 04:28.28
128, 1389, Thomas Cochrane, 6, 04:34.01
129, 1743, Amanda Falck Weber, 6, 04:36.03
130, 1781, Hayley Collins, 6, 04:37.13
131, 1167, Mike Pedley, 6, 04:37.45
132, 1398, Stanimira Dimitrova, 6, 04:40.03
133, 1306, Sarah Rollins, 6, 04:40.68
134, 1573, Jasmina Gassner, 6, 04:44.16
135, 1466, Rotem Yasur, 6, 04:45.09
136, 1207, Aimee Darley, 6, 04:49.4
137, 1312, Nikki Howard, 6, 04:51.47
138, 1006, Joshua Dudley, 6, 04:51.71
139, 1251, Steffen Hartmann, 6, 05:03.29
140, 1233, Robert Finch, 6, 05:07.01
141, 1025, Charlotte Ward, 6, 05:10.69
142, 1497, Nigel Britton, 6, 05:12.65
143, 1035, Tamsin Moran, 6, 05:13.96
144, 1373, Nicolas Kastner , 6, 05:22.11
145, 1225, Andy Robinson, 6, 05:23.11
146, 1567, Laura Ramstein, 6, 05:23.31
147, 1628, Sam Todd, 6, 05:33.51
148, 1691, Chris Bosley, 6, 05:37.97
149, 1228, Victoria Stevens, 6, 05:38.07
150, 1730, David Gray, 6, 05:38.34
151, 1033, Matthias Mahr, 6, 05:45.5
152, 1689, Eoin Sharkey, 6, 05:52.96
153, 1337, James Trott, 6, 06:04.7
154, 1510, Alan Halliday, 6, 06:08.43
155, 1180, Elizabeth Furness, 6, 06:33.66
156, 1509, Hanne Robertson, 6, 07:41.67
157, 1271, Garry Greenstreet, 6, 09:00.97
158, 1361, Ian Maxwell, 6, 09:06.44
159, 1572, Jakob Wolfram, 5.5, 03:18.31
160, 1291, Stanley Heap, 5.5, 03:50.91
161, 1188, Matija Razum, 5.5, 03:54.76
162, 1555, Aidan Smith, 5.5, 03:59.26
163, 1227, Malwina Dragowska, 5.5, 04:36.46
164, 1102, Øystein Kvaal Østerbø, 5.5, 04:43.26
165, 1784, Aurelie Andry, 5.5, 04:43.79
166, 1218, Zijie Ning , 5.5, 04:59.09
167, 1142, Mike Smithard, 5.5, 05:06.41
168, 1548, Brian Ward, 5.5, 05:21.74
169, 1539, Andrew Llewellyn, 5.5, 05:27.3
170, 1618, Caz Dudley, 5.5, 05:39.45
171, 1747, Sara Dżumaga, 5.5, 05:41.05
172, 1779, Chris Atkins, 5.5, 05:41.32
173, 1513, Abi Weeds, 5.5, 05:51.98
174, 1076, Lucy Fryer, 5.5, 06:39.06
175, 1720, Elias Lindström, 5.5, 06:46.2
176, 1440, Colin Smith, 5.5, 08:11.66
177, 1706, Elizabeth Jackson, 5.5, 09:01.24
178, 1803, Peter Reitsema, 5.5, 09:22.31
179, 1249, Jianhao Chen , 5.5, 11:06.07
180, 1384, Louise Light, 5.5, 11:35.69
181, 1506, Zoe Walsh, 5, 02:24.01
182, 1593, Penelope Salmon, 5, 02:31.54
183, 1293, Tommy Heap, 5, 02:34.72
184, 1783, Noor De Mits, 5, 02:39.81
185, 1642, Daan Cools, 5, 02:40.47
186, 1710, Steve Scott, 5, 02:44.1
187, 1768, William Thomas, 5, 02:50.78
188, 1155, Briana Steven, 5, 02:57.88
189, 1287, Ewan Winn, 5, 02:58.38
190, 1690, Olmo Combley, 5, 03:00.54
191, 1801, Dave Schorah, 5, 03:01.58
192, 1756, Kirsten Reilly, 5, 03:01.7
193, 1553, Callum Crocker, 5, 03:11.46
194, 1044, Finlay Raynor, 5, 03:17.14
195, 1134, Alice Soulsby, 5, 03:17.4
196, 1324, Claire Ward, 5, 03:17.51
197, 1635, Thomas Entwistle, 5, 03:19.49
198, 1792, Romane Sence, 5, 03:21.98
199, 1752, Cecilie Friberg Klysner, 5, 03:25.26
200, 1770, Chloë Cracknell, 5, 03:26.88
201, 1114, Alexandra Enlund, 5, 03:27.67
202, 1759, Jonas Falck Weber, 5, 03:30.79
203, 1802, Rafael Miguel, 5, 03:33.07
204, 1626, Oded Verbin, 5, 03:34.27
205, 1011, Cecilie Andersen, 5, 03:34.39
206, 1594, Paul Todd, 5, 03:37.25
207, 1043, Alasdair Raynor, 5, 03:37.49
208, 1056, Brad Connor, 5, 03:40.37
209, 1238, Paul Pruzina, 5, 03:44.71
210, 1052, Maja Robertson, 5, 03:47.27
211, 1012, Fay Walsh, 5, 03:48.71
212, 1659, Pawel Bugajski, 5, 03:51.89
213, 1554, Anna Simkovics, 5, 03:52.25
214, 1574, Anja Arbter, 5, 03:53.71
215, 1749, Jacob Steinthal, 5, 03:53.72
216, 1262, Dominic Dakin, 5, 03:55.51
217, 1647, Daniel Weaver, 5, 04:00.84
218, 1032, Georgia Jones, 5, 04:02.84
219, 1631, Debbie Anderson, 5, 04:03.87
220, 1798, Phishagelo Masui, 5, 04:04.47
221, 1148, Boris Granovskiy, 5, 04:06.94
222, 1039, Dylan Sherman, 5, 04:07.05
223, 1586, Rachel Kirkland, 5, 04:07.24
224, 1610, Michael Bishenden, 5, 04:07.73
225, 1588, Rachael Rothman, 5, 04:09.85
226, 1289, Ruby Nathan, 5, 04:11.41
227, 1144, Lindsey King, 5, 04:14.73
228, 1016, Jessica Halliday, 5, 04:15.52
229, 1133, Maggie Soulsby, 5, 04:18.35
230, 1301, Sebastian Ordoñez, 5, 04:20.81
231, 1158, Tam Wilson, 5, 04:22.84
232, 1632, Finlay Anderson, 5, 04:23.36
233, 1556, Amanda Bailey, 5, 04:27.5
234, 1741, Mizuho Katori, 5, 04:30.38
235, 1371, Basile Basset, 5, 04:30.78
236, 1774, John Marshall, 5, 04:39.06
237, 1279, Glen Richardson, 5, 04:42.65
238, 1036, Andrew Stemp, 5, 04:43.47
239, 1266, Matthew Pembery, 5, 04:44.53
240, 1399, Mykyta Chubynsky, 5, 04:45.56
241, 1375, Alice Rigby, 5, 04:45.97
242, 1285, Jonathan Winn, 5, 04:48.65
243, 1519, Michele Fiocca, 5, 04:52.09
244, 1126, Darren Baker, 5, 04:54.82
245, 1563, Ian Jones, 5, 04:59.04
246, 1209, Carol Edwards, 5, 04:59.23
247, 1009, James Ackland, 5, 05:00.28
248, 1181, Tommy Burke, 5, 05:00.52
249, 1065, Ian Hendrie, 5, 05:01.4
250, 1444, Bernie O’ Boyle, 5, 05:02.32
251, 1590, Oscar Rowe, 5, 05:04.29
252, 1263, Matthew Rooke, 5, 05:09.58
253, 1160, Wai-kit Choi, 5, 05:22.97
254, 1711, Helen C A Marshall, 5, 05:28.63
255, 1605, Sarah Lindström, 5, 05:33.98
256, 1758, Colm Moran, 5, 05:37.92
257, 1376, Jenny Hall, 5, 05:38.33
258, 1708, John Croall, 5, 05:38.65
259, 1540, David Currie, 5, 05:41.72
260, 1250, Miranda Mackereth, 5, 05:55.81
261, 1339, Jérôme BAUDSON, 5, 06:03.84
262, 1687, Brian Burt, 5, 06:14.54
263, 1597, Andrei Pavlov, 5, 06:20.44
264, 1354, Marie Dingreville, 5, 06:36.73
265, 1177, Martin Ward, 5, 06:51.47
266, 1300, Jon Cross, 5, 06:55.27
267, 1318, Mathieu Kern-Gillard, 5, 07:31.37
268, 1040, Sandra Mather, 5, 08:07.97
269, 1308, Georg Groell, 4.5, 03:43.32
270, 1357, Florian Howald, 4.5, 04:23.47
271, 1151, Paul Hammond, 4.5, 04:44.79
272, 1062, John Blatherwick, 4.5, 05:00.65
273, 1496, Irene Eglin, 4.5, 05:03.04
274, 1789, Isabelle Ben Khaled, 4.5, 05:27.17
275, 1712, Rebecca R E Marshall, 4.5, 05:30.79
276, 1381, Mike Capper, 4.5, 05:36.62
277, 1341, Ondrej Strelba, 4.5, 05:44.93
278, 1695, Emil Ahlbäck, 4.5, 05:51.25
279, 1511, Helen  Chiswell, 4.5, 06:03.45
280, 1550, Simon Crocker, 4.5, 06:25.66
281, 1579, Al McCartney, 4.5, 06:38.16
282, 1132, Jennie Soulsby, 4.5, 06:42.58
283, 1003, Fiona Bunn, 4.5, 08:19.63
284, 1688, Bruno Plumey, 4.5, 10:39.17
285, 1313, Isobel Howard, 4, 02:05.1
286, 1655, Llewellyn McGivern, 4, 02:24.19
287, 1060, Jennifer Rooney, 4, 02:38.43
288, 1629, Anna Todd, 4, 02:40.49
289, 1679, Matthew Morris, 4, 02:44.66
290, 1736, Georgia Lindroos, 4, 02:48.11
291, 1624, Emma Wilson, 4, 02:58.44
292, 1332, Clemens Wolfram, 4, 03:04.61
293, 1310, Andrew Twigg, 4, 03:04.81
294, 1136, Iain Phillips, 4, 03:08.07
295, 1484, Eskarina Medlock, 4, 03:09.24
296, 1042, Alison Matheson, 4, 03:13.29
297, 1206, Sarah Darley, 4, 03:18.04
298, 1644, Christine King, 4, 03:21.5
299, 1705, Hugo Kindborn, 4, 03:23.25
300, 1383, Mark Light, 4, 03:23.44
301, 1259, Emily Rowe, 4, 03:24.03
302, 1559, Matan Ivri, 4, 03:33.08
303, 1797, Wendy Mohale, 4, 03:33.74
304, 1159, Ewan Shingler, 4, 03:34.11
305, 1541, Emma Currie, 4, 03:34.92
306, 1728, Nicolas Mohn, 4, 03:34.98
307, 1648, Zef Segal, 4, 03:35.51
308, 1794, Matsobane Moabelo, 4, 03:39.24
309, 1319, Iain Smith, 4, 03:44.44
310, 1771, Matthew Wadey, 4, 03:46.36
311, 1764, Viktor Gunnarsson, 4, 03:47.8
312, 1178, Ephraim Chuene , 4, 03:47.91
313, 1543, Violet Evans, 4, 03:50.75
314, 1754, Camilla Davies, 4, 03:52.34
315, 1346, Agnes Brooke, 4, 03:54.2
316, 1561, Margaret Jones, 4, 03:54.32
317, 1441, Harriet Burdett, 4, 03:54.52
318, 1621, Steve Wilson, 4, 03:54.87
319, 1677, Alina Niggli, 4, 04:00.12
320, 1213, Finn Selmer Duguid, 4, 04:01.74
321, 1732, Alison Campbell, 4, 04:02.99
322, 1672, Eoghan Wiles, 4, 04:06.38
323, 1051, Calum Robertson, 4, 04:08.07
324, 1470, Mairi Weir, 4, 04:08.97
325, 1656, Lise Frigault, 4, 04:08.98
326, 1186, Thierry Gueorgiou, 4, 04:15.47
327, 1571, Anika Gassner, 4, 04:15.95
328, 1523, Morag McLuckie, 4, 04:16.94
329, 1524, Alexandra Danninger, 4, 04:18.13
330, 1267, Finlay McLuckie, 4, 04:19.88
331, 1671, Philip Craven, 4, 04:19.9
332, 1668, Sal Chaffey, 4, 04:22.13
333, 1031, River Edis-Smith, 4, 04:26.26
334, 1596, Dmitry Ushakov, 4, 04:29.85
335, 1385, Stephanie Light, 4, 04:36.6
336, 1143, Joey Hadorn, 4, 04:38.87
337, 1216, Troy Stokseth, 4, 04:39.15
338, 1661, Andrew Henderson, 4, 04:39.38
339, 1096, Rona Laird, 4, 04:42.71
340, 1054, Jan Travnicek, 4, 04:48.42
341, 1388, Zara Rogers, 4, 04:48.48
342, 1231, Ffion Bricknell, 4, 04:50.15
343, 1773, Sadhbh Hassett, 4, 04:56.07
344, 1525, Angela Darley, 4, 04:56.38
345, 1704, Jerome Albregue, 4, 05:00.71
346, 1782, Wolf De Mits, 4, 05:05.41
347, 1795, Maremo Mphahlele, 4, 05:05.53
348, 1537, Ciara Munnery, 4, 05:11.89
349, 1651, Roger Thetford, 4, 05:15.18
350, 1692, Emeric Hubert, 4, 05:19.51
351, 1551, Claire Crocker, 4, 05:23.89
352, 1698, Marion Payne-Bird, 4, 05:40.84
353, 1355, Gabriella Walsh, 4, 05:52.84
354, 1722, Stephen Jackson, 4, 06:02.09
355, 1739, Caroline Potter, 4, 06:25.48
356, 1342, Antonin Strelba, 4, 06:34.54
357, 1404, Bertie Kingsley, 4, 06:44.84
358, 1680, Hiranya Fernando, 4, 06:46.41
359, 1335, Carol Dredge, 4, 07:09.75
360, 1740, Michael Murray, 4, 07:18.46
361, 1603, Torgny Lindström, 4, 07:53.76
362, 1431, Ben Green, 4, 08:58.28
363, 1745, Richard Barrett, 3.5, 04:08.41
364, 1154, Rebecca Hammond, 3.5, 04:27.95
365, 1432, Robin Strain, 3.5, 05:07.56
366, 1152, Jenny Hammond, 3.5, 05:22.01
367, 1023, Kirstin Maxwell, 3.5, 05:27.35
368, 1765, Olin Davies, 3.5, 05:45.78
369, 1113, Tobias Danninger, 3.5, 06:03.62
370, 1638, Samuel Bartlett, 3.5, 06:25
371, 1625, Saulė Traubaitė, 3.5, 07:52.13
372, 1058, Karen Ashworth, 3.5, 07:54
373, 1295, Asja Niederland, 3, 02:06.09
374, 1622, Rachel Wilson, 3, 02:31.5
375, 1806, 1806, 3, 02:49.85
376, 1562, Sophie Jones, 3, 02:53.5
377, 1633, Aliana Henderson, 3, 03:09.06
378, 1787, Gerry Browne, 3, 03:15.35
379, 1268, Kate McLuckie, 3, 03:18.3
380, 1595, Pippa Carcas, 3, 03:21.53
381, 1693, James Bryant, 3, 03:25.08
382, 1288, Gavan Winn, 3, 03:29.5
383, 1674, Harry Bratcher - Howard, 3, 03:32.99
384, 1069, Dominika Bakowska, 3, 03:33.76
385, 1609, Kotomi Ibe, 3, 03:42.19
386, 1724, Isabel Hawks, 3, 03:43.79
387, 1589, Alex Rothman, 3, 03:48.06
388, 1657, Anija Irvine, 3, 03:51.97
389, 1121, James Errington, 3, 03:54.15
390, 1427, Duncan Currie, 3, 03:55
391, 1090, Rebecca McCreadie, 3, 04:01.62
392, 1075, Oscar Shepherd, 3, 04:04.01
393, 1047, Kate Hawks, 3, 04:07.75
394, 1526, Jane Hunter, 3, 04:10.16
395, 1665, Marquita Gelderman, 3, 04:14.61
396, 1733, Solenn Jordan, 3, 04:17.37
397, 1166, Clare Dallimore, 3, 04:17.38
398, 1223, Freya Tryner, 3, 04:20.14
399, 1093, Helen Errington, 3, 04:20.19
400, 1766, Rosie Shaw, 3, 04:26.03
401, 1189, Liz Phillips, 3, 04:27.85
402, 1078, Rebecca Gray, 3, 04:38.08
403, 1437, Alison Fryer, 3, 04:42.32
404, 1450, Janette McHendry, 3, 04:44.79
405, 1064, Fiona Hendrie, 3, 04:45.01
406, 1294, Jackie Hallett, 3, 04:45.01
407, 1515, Ann Robertson, 3, 04:46.33
408, 1641, Leah Bartlett, 3, 04:47.18
409, 1127, Elaine Sutton, 3, 04:50.02
410, 1568, Remco Hereijgers, 3, 05:06.46
411, 1673, Monty Bratcher-Howard, 3, 05:09.72
412, 1558, Rachel Collins, 3, 05:10.45
413, 1193, Alice McDaid, 3, 05:13.92
414, 1489, Cristina Luis, 3, 05:15.42
415, 1516, Mikes Kiss, 3, 05:22.41
416, 1128, Helen Bickle, 3, 05:24.08
417, 1612, Julian Pieters, 3, 05:25.58
418, 1535, Philippa Weir, 3, 05:31.74
419, 1760, Jon Wheatcroft, 3, 05:40.85
420, 1247, Samantha Walker, 3, 05:51.73
421, 1204, Alastair Dunlop, 3, 06:05
422, 1544, Will Enger, 3, 06:27.72
423, 1649, James Hayward, 3, 06:50.54
424, 1685, Mark Saunders, 3, 07:04.23
425, 1203, Louise Mainwaring, 3, 07:09.05
426, 1079, Don Bayly, 3, 07:49.75
427, 1286, Teresa Winn, 3, 07:52.21
428, 1667, Dave Chaffey, 2.5, 04:01.5
429, 1536, Simon Vaxelaire, 2.5, 04:14.25
430, 1309, Nicola  Melville, 2.5, 04:43.49
431, 1221, Pauline Tryner, 2.5, 05:39.3
432, 1713, Ann Marshall, 2.5, 06:05.66
433, 1333, Judith Bell, 2.5, 06:19.31
434, 1529, Elizabeth Campbell, 2.5, 06:47.47
435, 1619, Jonas Diete, 2.5, 07:17.09
436, 1366, Malcolm Aldridge, 2.5, 08:42.54
437, 1483, Lyra Medlock, 2, 02:01.24
438, 1788, Niamh Browne, 2, 02:40.39
439, 1694, Ciara Keen, 2, 02:47.93
440, 1623, Alice Wilson, 2, 02:57.84
441, 1030, Isaac Hunter, 2, 02:59.25
442, 1604, Mattis Lindström, 2, 03:06.54
443, 1778, Maddie Bartlett, 2, 03:19.08
444, 1557, Thomas Rollins, 2, 03:27.03
445, 1696, Naomi Thornton, 2, 03:28.21
446, 1073, Jon Shepherd, 2, 03:28.29
447, 1799, Garry Morrison , 2, 03:37.23
448, 1731, Graham Heap, 2, 03:38.84
449, 1338, Jean BAUDSON, 2, 03:50.84
450, 1492, Bastian Danninger, 2, 03:51.99
451, 1753, Camilla Bevensee, 2, 03:58.21
452, 1602, Euan Tryner, 2, 04:03.45
453, 1744, Elena Gvozdeykova, 2, 04:15.34
454, 1767, Poppy Chorlton, 2, 04:29.2
455, 1719, Ioan Ivasciuc, 2, 04:34.54
456, 1131, Alexander Soulsby, 2, 04:43.88
457, 1714, Chris Marshall, 2, 05:14.19
458, 1576, Brendan O'Brien, 2, 05:14.23
459, 1790, Margaux Prieur, 2, 05:16.44
460, 1780, Fionnuala Rowe, 2, 05:34.07
461, 1577, Daire O'Brien , 2, 06:35.85
462, 1735, Ludivine Jordan, 1.5, 06:19.23
463, 1317, Kirsten Robertson, 1, 02:14.22
464, 1777, Amelia Bartlett, 1, 02:18.91
465, 1614, Imogen Pieters, 1, 02:27.11
466, 1662, Hebe Darwin, 1, 04:43.37
467, 1369, Hannah Gray, 1, 04:52.77
468, 1240, Philip Cooper, 1, 05:18.56
469, 1663, Alex Darwin, 1, 06:48.53
470, 1699, Justine Edwards, 1, 07:15.75
471, 1791, Clément Prieur, 1, 07:18.08
472, 1566, Martin Cook, 1, 08:51.91
473, 1734, Eliza Jordan, 0, 03:21.78
474, 1194, Charles Taylor-Keane, 0, 03:33.75
